periodo,destino,exportaciones_musd,continente,subregion,pais
2020-11-01,América. América del Norte. Estados Unidos,739.65699281,América,América del Norte,Estados Unidos
2020-12-01,América. América del Norte. Estados Unidos,906.5286212,América,América del Norte,Estados Unidos
2021-01-01,América. América del Norte. Estados Unidos,970.363428066769,América,América del Norte,Estados Unidos
2021-02-01,América. América del Norte. Estados Unidos,1316.49686705459,América,América del Norte,Estados Unidos
2021-03-01,América. América del Norte. Estados Unidos,1172.40433819207,América,América del Norte,Estados Unidos
2021-04-01,América. América del Norte. Estados Unidos,1257.98357059957,América,América del Norte,Estados Unidos
2021-05-01,América. América del Norte. Estados Unidos,1068.97668694575,América,América del Norte,Estados Unidos
2021-06-01,América. América del Norte. Estados Unidos,1225.89737262714,América,América del Norte,Estados Unidos
2021-07-01,América. América del Norte. Estados Unidos,1245.50974780283,América,América del Norte,Estados Unidos
2021-08-01,América. América del Norte. Estados Unidos,1413.23350551634,América,América del Norte,Estados Unidos
2021-09-01,América. América del Norte. Estados Unidos,1400.56451670757,América,América del Norte,Estados Unidos
2021-10-01,América. América del Norte. Estados Unidos,1101.4555991295,América,América del Norte,Estados Unidos
2021-11-01,América. América del Norte. Estados Unidos,1348.57035582726,América,América del Norte,Estados Unidos
2021-12-01,América. América del Norte. Estados Unidos,1480.24924453795,América,América del Norte,Estados Unidos
2022-01-01,América. América del Norte. Estados Unidos,962.46281197,América,América del Norte,Estados Unidos
2022-02-01,América. América del Norte. Estados Unidos,1031.7677709,América,América del Norte,Estados Unidos
2022-03-01,América. América del Norte. Estados Unidos,1440.5352939,América,América del Norte,Estados Unidos
2022-04-01,América. América del Norte. Estados Unidos,1314.9773729,América,América del Norte,Estados Unidos
2022-05-01,América. América del Norte. Estados Unidos,1343.5546483,América,América del Norte,Estados Unidos
2022-06-01,América. América del Norte. Estados Unidos,1226.1414149,América,América del Norte,Estados Unidos
2022-07-01,América. América del Norte. Estados Unidos,979.44302373,América,América del Norte,Estados Unidos
2022-08-01,América. América del Norte. Estados Unidos,1183.4690179,América,América del Norte,Estados Unidos
2022-09-01,América. América del Norte. Estados Unidos,1013.9787973,América,América del Norte,Estados Unidos
2022-10-01,América. América del Norte. Estados Unidos,948.04613841,América,América del Norte,Estados Unidos
2022-11-01,América. América del Norte. Estados Unidos,1038.3045185,América,América del Norte,Estados Unidos
2022-12-01,América. América del Norte. Estados Unidos,1143.2910539,América,América del Norte,Estados Unidos
2023-01-01,América. América del Norte. Estados Unidos,1226.486876,América,América del Norte,Estados Unidos
2023-02-01,América. América del Norte. Estados Unidos,1480.3714932,América,América del Norte,Estados Unidos
2023-03-01,América. América del Norte. Estados Unidos,1758.4888591,América,América del Norte,Estados Unidos
2023-04-01,América. América del Norte. Estados Unidos,1182.8652296,América,América del Norte,Estados Unidos
2023-05-01,América. América del Norte. Estados Unidos,1267.7589952,América,América del Norte,Estados Unidos
2023-06-01,América. América del Norte. Estados Unidos,1201.2923519,América,América del Norte,Estados Unidos
2023-07-01,América. América del Norte. Estados Unidos,1031.7168922,América,América del Norte,Estados Unidos
2023-08-01,América. América del Norte. Estados Unidos,1165.417086,América,América del Norte,Estados Unidos
2023-09-01,América. América del Norte. Estados Unidos,1022.7928547,América,América del Norte,Estados Unidos
2023-10-01,América. América del Norte. Estados Unidos,1086.1289402,América,América del Norte,Estados Unidos
2023-11-01,América. América del Norte. Estados Unidos,999.96982224,América,América del Norte,Estados Unidos
2023-12-01,América. América del Norte. Estados Unidos,1024.6414347,América,América del Norte,Estados Unidos
2024-01-01,América. América del Norte. Estados Unidos,1055.1676671,América,América del Norte,Estados Unidos
2024-02-01,América. América del Norte. Estados Unidos,1149.716194,América,América del Norte,Estados Unidos
2024-03-01,América. América del Norte. Estados Unidos,1170.5478984,América,América del Norte,Estados Unidos
2024-04-01,América. América del Norte. Estados Unidos,1360.23638,América,América del Norte,Estados Unidos
2024-05-01,América. América del Norte. Estados Unidos,1304.4272172,América,América del Norte,Estados Unidos
2024-06-01,América. América del Norte. Estados Unidos,1519.959532,América,América del Norte,Estados Unidos
2024-07-01,América. América del Norte. Estados Unidos,1461.5853354,América,América del Norte,Estados Unidos
